Seat_No,Student_Name,Subject_1,Subject_2,Subject_3,Total,Result
S4617580,Pahal Deshpande,50,91,77,218,PASS
S1000231,David Varty,60,60,79,199,PASS
S5470160,Ekani Gara,64,95,70,229,PASS
S7881087,Chatresh Sura,99,72,74,245,PASS
S1717204,Wazir Raval,86,87,74,247,PASS
S2527815,Bhavika Hora,90,98,43,231,PASS
S8725534,Fitan Narula,93,55,76,224,PASS
S7518727,Owen Soni,40,82,79,201,PASS
S9202075,Udyati Lad,52,80,74,206,PASS
S8179859,Siya Virk,44,82,97,223,PASS
S2568653,Krish Badami,67,89,85,241,PASS
S9283939,Sathvik Verma,50,60,69,179,PASS
S1924987,Yoshita Chopra,69,46,71,186,PASS
S7205002,Chanakya Sodhi,99,67,58,224,PASS
S0551835,Manya Oza,58,56,59,173,PASS
