Roll_No,Student_Name,Department,Year,Email,Phone
TRA844,Upadhriti Loke,Training & Placement Cell,SE,hritik59@example.net,+919985682564
TRA743,Rudra Borra,Training & Placement Cell,BE,rmann@example.org,5110183007
TRA954,Fitan Ramesh,Training & Placement Cell,BE,aganesh@example.net,06050802974
TRA223,Elijah Dash,Training & Placement Cell,TE,sbabu@example.org,9978684854
TRA699,Banjeet Batta,Training & Placement Cell,SE,badamisaanvi@example.com,02895541215
TRA555,Urishilla Dewan,Training & Placement Cell,TE,dharavi@example.net,4691646375
TRA535,Abhimanyu Johal,Training & Placement Cell,SE,chaudharyfrado@example.org,+913216349019
TRA787,Daksh Chanda,Training & Placement Cell,FE,hsule@example.com,5529641076
TRA158,Sudiksha Dada,Training & Placement Cell,FE,deepa34@example.com,6194619185
TRA315,Krishna Verma,Training & Placement Cell,TE,quincy26@example.org,+915057242151
TRA237,Lakshit Magar,Training & Placement Cell,FE,vasana27@example.net,+917740007522
TRA487,Yashoda Kohli,Training & Placement Cell,TE,sahnisai@example.com,04631714723
TRA513,Thomas Thaker,Training & Placement Cell,SE,mitterjason@example.com,2345239390
TRA792,Hredhaan Tank,Training & Placement Cell,SE,elijah93@example.com,1535230694
TRA486,Wakeeta Barad,Training & Placement Cell,TE,azaanmane@example.com,6838711748
TRA793,Mahika Sen,Training & Placement Cell,TE,hnayar@example.com,03215473750
TRA262,Niharika Bansal,Training & Placement Cell,FE,niteshray@example.org,9859840683
TRA157,Utkarsh Tank,Training & Placement Cell,TE,champakboase@example.org,+912866589352
TRA854,Orinder Chad,Training & Placement Cell,FE,isha07@example.net,+912187228914
TRA911,Yachana Dayal,Training & Placement Cell,FE,xmaharaj@example.org,01733018651
TRA863,Ayushman Patil,Training & Placement Cell,BE,tanishgoda@example.com,+916769920160
TRA308,Zinal Ghose,Training & Placement Cell,TE,nathladli@example.org,1106997698
TRA804,Azaan Pai,Training & Placement Cell,FE,bachittarchar@example.net,7171228089
TRA111,Jeremiah Morar,Training & Placement Cell,FE,balasubramanianlaban@example.com,+910063081653
TRA303,Oliver Borde,Training & Placement Cell,TE,chaudhrylopa@example.net,+915525364905
TRA721,Simon Sood,Training & Placement Cell,SE,hayereesha@example.org,09412732988
TRA657,Zaitra Sheth,Training & Placement Cell,FE,kaulsaksham@example.com,04488373914
TRA749,Yashasvi Kibe,Training & Placement Cell,TE,ahujaisaiah@example.com,00043266134
TRA938,Oeshi Saini,Training & Placement Cell,TE,vchand@example.org,+918185029948
TRA376,Christopher Kashyap,Training & Placement Cell,TE,chackoyatan@example.net,8347151617
TRA157,Barkha Ganesh,Training & Placement Cell,FE,wriddhishagarwal@example.org,01651782319
TRA850,Hamsini Nagarajan,Training & Placement Cell,BE,shravyaraj@example.net,+913488252999
TRA455,Urvi Chana,Training & Placement Cell,TE,vorasanaya@example.net,+914433465955
TRA263,Balendra Mannan,Training & Placement Cell,FE,liam08@example.com,06169149825
TRA579,Falan Dhar,Training & Placement Cell,FE,itara@example.com,+918860695607
TRA317,Zaid Rana,Training & Placement Cell,BE,kamya16@example.net,+913139948086
TRA514,Ishanvi Kapoor,Training & Placement Cell,SE,lvyas@example.net,+912447857635
TRA474,Harsh Magar,Training & Placement Cell,TE,aptebenjamin@example.net,06018986589
TRA487,Tanish Dyal,Training & Placement Cell,BE,sborde@example.org,+911230150465
TRA762,Bhavini Bahri,Training & Placement Cell,FE,csrinivasan@example.org,+913320617079
TRA615,Imaran Iyer,Training & Placement Cell,BE,pallmichael@example.com,2026128402
