Receipt_No,Student_Name,Amount_Paid,Date,Payment_Mode
REC-23399,Anmol Upadhyay,75000,2026-01-14,UPI
REC-51515,Victor Dhaliwal,25000,2026-01-25,Cheque
REC-18990,Wishi Ray,75000,2026-01-19,Cash
REC-78320,Manya Jhaveri,50000,2026-01-06,Cash
REC-42686,Deepa Saxena,50000,2026-01-15,Cash
REC-83307,Bhavini Dada,15000,2026-01-22,Cheque
REC-13831,Hredhaan Tata,50000,2026-01-26,UPI
REC-93632,Samarth Arora,75000,2026-01-09,DD
REC-58913,Victor Ramanathan,25000,2026-01-18,UPI
REC-56795,Raghav Krishna,50000,2026-01-14,DD
REC-30719,Aryan Sani,50000,2026-01-26,DD
REC-21208,Anita Bahl,15000,2026-01-15,Cheque
REC-53802,Yoshita Seth,15000,2026-01-16,Cash
REC-73551,Avni Buch,75000,2026-01-22,UPI
REC-25180,Ira Kakar,75000,2026-01-12,Cheque
REC-80762,Logan Bahri,25000,2026-01-15,DD
REC-01615,Rachit Tank,15000,2026-01-09,DD
REC-56830,Yochana Borra,50000,2026-01-07,UPI
REC-94390,Chaaya Bhalla,75000,2026-01-23,Cash
REC-26528,Ekaraj Dass,15000,2026-01-06,Cash
REC-44210,Rachit Johal,25000,2026-01-06,Cash
REC-41419,Jairaj Bhagat,50000,2026-01-21,UPI
REC-34300,Atharv Lad,75000,2026-01-20,Cash
REC-87466,Jyoti Comar,75000,2026-01-01,DD
REC-42286,Tanveer Bhatt,50000,2026-01-01,Cheque
REC-85617,Kamya Iyer,50000,2026-01-13,Cash
REC-83774,Champak Hari,50000,2026-01-21,UPI
REC-07935,Priya Setty,15000,2026-01-04,Cheque
REC-19466,Finn Bir,15000,2026-01-13,UPI
REC-97720,Warjas Bala,15000,2026-01-06,DD
REC-33345,Yashvi Varty,50000,2026-01-11,Cash
REC-11695,Rushil Loyal,75000,2026-01-10,DD
REC-62918,Urvi Chakraborty,15000,2026-01-08,UPI
REC-73347,Pallavi Kala,75000,2026-01-12,DD
REC-50041,Siddharth Bera,75000,2026-01-20,Cash
REC-40010,Prisha Dubey,75000,2026-01-15,Cheque
REC-67157,Ishwar Shanker,25000,2026-01-17,UPI
REC-43556,Yamini Chaudhari,50000,2026-01-16,Cheque
REC-04234,Charita Chahal,75000,2026-01-12,UPI
REC-63632,Xalak Mahal,50000,2026-01-24,Cash
REC-14660,Gaurav Samra,75000,2026-01-05,Cheque
REC-29451,Nicholas Dave,15000,2026-01-13,UPI
REC-18044,Vrinda Chopra,75000,2026-01-03,Cash
REC-49361,Onkar Chahal,15000,2026-01-14,Cash
REC-46180,Karan Srivastava,15000,2026-01-08,DD
REC-10599,Ekaja Saran,15000,2026-01-23,UPI
REC-20522,Ishani Parmer,25000,2026-01-14,Cheque
REC-20681,Yug Krishna,25000,2026-01-01,Cash
REC-30572,Gavin Datta,75000,2026-01-09,Cash
