Receipt_No,Student_Name,Amount_Paid,Date,Payment_Mode
REC-38938,Upasna Jani,25000,2026-01-05,UPI
REC-68964,Dev Bhardwaj,75000,2026-01-11,Cheque
REC-26455,Harrison Suri,50000,2026-01-02,DD
REC-13665,Champak Bhagat,15000,2026-01-20,Cheque
REC-89121,Aishani Srinivas,50000,2026-01-21,Cash
REC-70001,Ekalinga Mukherjee,25000,2026-01-23,Cash
REC-60442,Bhavini Muni,50000,2026-01-01,Cheque
REC-35206,Alka Shere,25000,2026-01-01,Cheque
REC-22096,Dalaja Lata,75000,2026-01-01,Cheque
REC-02727,Falguni Tandon,75000,2026-01-08,DD
REC-57264,Mohini Tata,15000,2026-01-02,Cheque
REC-64340,Hardik Padmanabhan,15000,2026-01-24,Cash
REC-28708,Hiral Nayar,25000,2026-01-04,Cheque
REC-56915,Kavya Nagarajan,50000,2026-01-10,UPI
REC-76850,Rachana Bhatti,75000,2026-01-17,DD
REC-69295,Yasti Raju,15000,2026-01-09,DD
REC-73561,Vedant Nayak,50000,2026-01-07,DD
REC-70510,Rajeshri Palan,15000,2026-01-04,UPI
REC-95564,Nakul Chaudhry,75000,2026-01-12,Cheque
REC-67476,Atharv Sastry,25000,2026-01-17,UPI
REC-91489,Vrinda Date,25000,2026-01-20,UPI
REC-01359,Wridesh Behl,75000,2026-01-05,DD
REC-39455,Hitesh Narayan,50000,2026-01-11,Cheque
REC-95257,Bachittar Singh,75000,2026-01-10,Cheque
REC-57726,Yatan Devan,15000,2026-01-03,Cheque
REC-65113,Ranveer Johal,25000,2026-01-24,DD
REC-09188,Wridesh Randhawa,15000,2026-01-26,Cash
REC-87009,Fitan Dar,25000,2026-01-22,Cheque
