Receipt_No,Student_Name,Amount_Paid,Date,Payment_Mode
REC-39273,Shivani Nayar,25000,2026-01-22,Cash
REC-98925,Shaurya Mani,15000,2026-01-09,Cash
REC-75479,Jagvi Khalsa,50000,2026-01-16,DD
REC-95999,Bachittar Deo,15000,2026-01-11,DD
REC-59150,Chaitanya Sule,75000,2026-01-06,UPI
REC-69934,Mohini Mammen,25000,2026-01-08,Cheque
REC-23568,Urishilla Tella,25000,2026-01-08,UPI
REC-55608,Mohammed Subramaniam,50000,2026-01-13,UPI
REC-33046,Liam Jhaveri,75000,2026-01-08,UPI
REC-87693,Raagini Jayaraman,50000,2026-01-25,DD
REC-67327,Amaira Loke,25000,2026-01-04,DD
REC-11639,Vedhika Dada,25000,2026-01-16,UPI
REC-68363,Vyanjana Kohli,25000,2026-01-01,UPI
REC-07483,Chaaya Kakar,50000,2026-01-02,Cheque
REC-88425,Hitesh Rattan,75000,2026-01-25,DD
REC-47197,Jasmit Nayak,15000,2026-01-12,Cash
REC-41323,Chatura Dar,25000,2026-01-04,Cheque
REC-54989,Keya Deo,75000,2026-01-13,Cheque
REC-65573,Hardik Saran,50000,2026-01-05,Cash
REC-16126,Samarth Walia,50000,2026-01-08,Cheque
REC-43851,Elijah Kannan,25000,2026-01-05,Cheque
REC-10568,Eiravati Mohan,15000,2026-01-15,UPI
REC-11842,Advika Purohit,75000,2026-01-24,DD
REC-75730,Andrew Sinha,25000,2026-01-18,Cash
REC-40080,Gunbir Doctor,15000,2026-01-02,Cash
REC-45833,Imaran Sachdev,25000,2026-01-25,UPI
REC-89266,Kai Gill,75000,2026-01-16,DD
REC-74964,Anirudh Srinivas,25000,2026-01-20,DD
REC-23725,Lopa Vasa,75000,2026-01-18,Cash
REC-38372,Ria Reddy,15000,2026-01-26,Cheque
REC-44102,Jatin Dash,25000,2026-01-07,DD
REC-89431,Atharv Basu,15000,2026-01-17,Cheque
REC-44814,Siya Dash,50000,2026-01-18,DD
REC-08929,Neelima Nagarajan,15000,2026-01-03,DD
REC-23625,Pratyush Kari,25000,2026-01-11,Cash
REC-01250,Vrinda Dewan,75000,2026-01-05,UPI
REC-69110,Bhavini Bhardwaj,75000,2026-01-12,Cheque
REC-50920,Adweta Dugal,75000,2026-01-04,Cash
