Roll_No,Student_Name,Department,Year,Email,Phone
COM732,Ekapad Dutt,Computer Engineering,BE,gsathe@example.org,8580103754
COM664,Bachittar Muni,Computer Engineering,TE,ramakrishnanzayyan@example.com,+911019322317
COM141,Aashi Pandit,Computer Engineering,SE,abduloommen@example.com,5008610550
COM506,Mason Rai,Computer Engineering,SE,eesha09@example.com,07933102912
COM889,Brijesh Barad,Computer Engineering,FE,bumbabeer@example.net,2239982606
COM710,Yadavi Deshpande,Computer Engineering,FE,kpatil@example.org,07763022851
COM675,Falguni Suri,Computer Engineering,SE,masterwaida@example.org,+916186521376
COM157,Samar Banik,Computer Engineering,BE,qmorar@example.com,+917318111502
COM902,Advik Seshadri,Computer Engineering,TE,ridhideshpande@example.net,09119426132
COM668,Nimrat Pant,Computer Engineering,FE,jeremiah44@example.org,2315666828
COM140,Warjas Sarin,Computer Engineering,TE,issacrayaan@example.net,3216049074
COM159,Chanakya Mane,Computer Engineering,TE,lila89@example.com,+918476595404
COM330,Ekansh Palla,Computer Engineering,FE,sureshnaksh@example.net,00127391645
COM251,Lakshmi Varkey,Computer Engineering,BE,udantkunda@example.net,+918492613252
COM377,Rachit Bhavsar,Computer Engineering,SE,shivani65@example.net,02138292211
COM434,Ishaan Dalal,Computer Engineering,FE,pkuruvilla@example.com,04296255991
COM688,Vaishnavi Rastogi,Computer Engineering,BE,pdora@example.net,+916484216872
COM156,Ubika Khare,Computer Engineering,FE,evarty@example.org,9483432155
COM436,Hitesh Hegde,Computer Engineering,TE,bchahal@example.org,03265234013
COM921,Chasmum Dasgupta,Computer Engineering,BE,gopal83@example.net,5323856193
COM911,Arya Luthra,Computer Engineering,TE,lkapadia@example.org,1291273639
COM174,Frederick Batta,Computer Engineering,BE,mandalavanya@example.com,+917727149353
COM891,Lajita Ravel,Computer Engineering,BE,kala04@example.com,04663018807
COM474,Ijaya Batta,Computer Engineering,TE,samiethan@example.net,+918922734362
COM235,Lajita Baria,Computer Engineering,FE,robertsharaf@example.org,+912907748963
COM949,Bimala Tata,Computer Engineering,BE,azaannarayan@example.net,0375533555
COM794,Qasim Venkatesh,Computer Engineering,BE,pallafalak@example.net,0149441025
COM566,Damyanti Sangha,Computer Engineering,BE,sarafsaanvi@example.org,08922362399
COM870,Timothy Kara,Computer Engineering,TE,azad82@example.net,4270664939
COM161,Rudra Mangat,Computer Engineering,TE,psheth@example.org,02826976772
COM787,Reva Bhakta,Computer Engineering,BE,ysule@example.com,8791918364
COM803,Sneha Dewan,Computer Engineering,SE,yadavi31@example.org,+916340679066
COM838,Gopal Mallick,Computer Engineering,BE,tchaudhary@example.org,7914909172
COM882,Vedant Buch,Computer Engineering,TE,balaashi@example.com,9362466727
COM208,Ekavir Goyal,Computer Engineering,TE,shravya26@example.com,7276193569
COM896,Robert Chander,Computer Engineering,TE,thakurgayathri@example.net,+917666441888
COM384,Upadhriti Chaudhary,Computer Engineering,FE,sahnidayamai@example.com,+911439852790
COM406,Maanas Agarwal,Computer Engineering,FE,pratyush83@example.net,+918835278304
COM719,Ekantika Baria,Computer Engineering,TE,yash78@example.org,+914855885913
COM645,Manthan Suresh,Computer Engineering,FE,siddharth25@example.com,3644009463
COM354,Chasmum Dhawan,Computer Engineering,FE,qkrishnan@example.org,2890077032
COM522,Warinder Rajan,Computer Engineering,FE,eeshakrishna@example.net,+915649777726
COM877,Amaira Bajwa,Computer Engineering,SE,aadi29@example.com,+914455145623
COM427,Vamakshi Jani,Computer Engineering,SE,galaisaac@example.org,3204789967
COM506,Urmi Agate,Computer Engineering,BE,siyaborah@example.com,04780077481
COM410,Ayush Narang,Computer Engineering,BE,chandranchacko@example.com,0642037929
COM523,Warhi Chaudhary,Computer Engineering,SE,fnanda@example.net,+918687637352
COM311,Krishna Chawla,Computer Engineering,SE,harinakshi31@example.net,01527876488
COM929,Jai Karnik,Computer Engineering,TE,dsandal@example.net,02636211857
COM758,Vinaya Dani,Computer Engineering,FE,xnarain@example.com,9373344805
