Student_ID,Student_Name,Total_Lectures,Attended,Percentage
1389,Timothy Dey,40,29,72.50%
2444,Gavin Goda,40,39,97.50%
9278,Zilmil Dasgupta,40,40,100.00%
6836,Michael Handa,40,29,72.50%
3117,Kai Khosla,40,31,77.50%
5962,Naveen Sule,40,40,100.00%
3975,Niharika Narasimhan,40,39,97.50%
5544,Amol Savant,40,40,100.00%
7908,Sai Chawla,40,21,52.50%
6785,Dalbir Chandran,40,24,60.00%
5107,Eiravati Nagy,40,20,50.00%
9849,Avi Nair,40,30,75.00%
9809,Omya Mand,40,35,87.50%
4095,Baghyawati Kakar,40,38,95.00%
9282,Yauvani Kakar,40,34,85.00%
5307,Qarin Aggarwal,40,27,67.50%
5115,Henry Shankar,40,20,50.00%
2817,Harshil Khare,40,24,60.00%
4599,Vivaan Menon,40,28,70.00%
8368,Isha Bhatti,40,23,57.50%
9827,Upadhriti Sachar,40,39,97.50%
3903,Hitesh Khanna,40,36,90.00%
9992,Pranit Shan,40,22,55.00%
6878,Indali Badami,40,31,77.50%
9851,Urvi Bumb,40,26,65.00%
3750,Viraj Bora,40,39,97.50%
2419,Chaitaly Nair,40,37,92.50%
6306,Ganga Borde,40,38,95.00%
2373,Nihal Som,40,35,87.50%
2168,Abhiram Narain,40,22,55.00%
8196,Warjas Deshmukh,40,20,50.00%
7709,Orinder Nanda,40,39,97.50%
5899,Lajita Chaudry,40,21,52.50%
7938,Falguni Master,40,36,90.00%
6009,Zansi Mittal,40,40,100.00%
5691,Nilima Bhatti,40,21,52.50%
8902,Dayamai Modi,40,31,77.50%
1028,Nikita Banerjee,40,32,80.00%
4741,Lopa Badal,40,39,97.50%
3892,Laban Krishnamurthy,40,35,87.50%
1189,Nikita Kaur,40,32,80.00%
9841,Oliver Gokhale,40,27,67.50%
6654,Ikshita Sami,40,32,80.00%
1555,Onkar Devan,40,35,87.50%
2338,Warhi Tripathi,40,33,82.50%
4213,Aachal Chokshi,40,23,57.50%
4492,Rachit Gala,40,23,57.50%
1697,Baghyawati Singh,40,25,62.50%
