Roll_No,Student_Name,Department,Year,Email,Phone
COM615,Zehaan Banerjee,Computer Engineering,TE,raipushti@example.net,+914554648063
COM404,Naksh Sidhu,Computer Engineering,TE,singhaljackson@example.com,1708072167
COM562,Chandran Badal,Computer Engineering,FE,michael53@example.org,+914572083556
COM195,Atharv Prasad,Computer Engineering,TE,qoak@example.net,+911300085760
COM551,Radhika Golla,Computer Engineering,TE,tsaha@example.org,00330079187
COM467,Ekansh Sankaran,Computer Engineering,BE,jjayaraman@example.net,00752332937
COM961,Kavya Ravel,Computer Engineering,TE,mahikabath@example.com,8930817232
COM344,Chaitanya Puri,Computer Engineering,TE,lukegokhale@example.com,+914259408016
COM566,Rachana Kapur,Computer Engineering,BE,rehaan24@example.net,+919134040552
COM823,Yutika Aurora,Computer Engineering,TE,naidumason@example.com,+914134034079
COM368,Falak Dhar,Computer Engineering,SE,dhruv22@example.org,+913305168345
COM622,Rajata Vyas,Computer Engineering,TE,karperaghav@example.org,00260395133
COM525,Darika Lala,Computer Engineering,FE,ubarad@example.net,04071945124
COM742,Wahab Brar,Computer Engineering,TE,dominic48@example.org,+912338066066
COM714,Lila Ghosh,Computer Engineering,TE,brahmbhattgopal@example.org,2003733177
COM383,Zehaan Mani,Computer Engineering,BE,gpatla@example.net,07973186837
COM247,Leela Dutt,Computer Engineering,SE,wrideshbrahmbhatt@example.com,07063036127
COM674,Chakrika Sane,Computer Engineering,FE,fdalal@example.com,+918972745524
COM516,Oni Sharaf,Computer Engineering,FE,ishwar19@example.com,9702443368
COM653,Yashvi Apte,Computer Engineering,TE,cmadan@example.com,00856436114
COM301,Aadi Sangha,Computer Engineering,FE,chameli44@example.net,7965216409
COM829,Tanay Bhatnagar,Computer Engineering,SE,qasimbhardwaj@example.net,3280906154
COM783,Vasana Kanda,Computer Engineering,FE,daksh88@example.com,8691080674
COM806,Caleb Palan,Computer Engineering,BE,tbains@example.org,4006581373
COM370,Panini Bhagat,Computer Engineering,FE,larora@example.com,+911041280537
COM718,Orinder Rai,Computer Engineering,BE,sankaranvedant@example.org,7041652616
COM376,Wriddhish Sandhu,Computer Engineering,BE,nrao@example.org,+918861316400
COM481,Ijaya Sant,Computer Engineering,BE,jeet71@example.com,1681962679
COM825,Falan Pant,Computer Engineering,SE,saanvi25@example.org,4666965809
COM963,Aayush Upadhyay,Computer Engineering,SE,nidra52@example.org,00104421607
COM900,Yagnesh Seth,Computer Engineering,TE,mchad@example.net,+918756928296
COM707,Harrison Ghosh,Computer Engineering,FE,hsathe@example.com,+914826618711
COM820,Krishna Rajan,Computer Engineering,TE,wray@example.com,08976674994
COM553,Forum Singh,Computer Engineering,FE,balhaarbose@example.net,+910165598136
COM567,Edhitha Dugar,Computer Engineering,TE,kalpitgoswami@example.org,02097899661
COM872,Ekani Natarajan,Computer Engineering,SE,ymisra@example.com,00018993940
COM966,Tripti Chand,Computer Engineering,TE,bhaviniaurora@example.com,+915026435203
COM687,Aryan Issac,Computer Engineering,SE,rchandran@example.com,+918656971028
COM509,Madhavi Singh,Computer Engineering,FE,upmadas@example.org,4076119186
COM841,Harsh Bose,Computer Engineering,SE,ladlijha@example.org,+912062359423
COM726,Orinder Patel,Computer Engineering,FE,libni97@example.com,+915612346793
COM933,Chameli Mani,Computer Engineering,TE,ojasvi85@example.org,+912111904721
COM348,Veer Buch,Computer Engineering,SE,kulkarniisha@example.org,3512079702
COM480,Tamanna Bandi,Computer Engineering,BE,faris03@example.net,00164142528
COM450,Peter Kala,Computer Engineering,SE,jalsachoudhary@example.net,1308685309
COM625,Logan Venkatesh,Computer Engineering,SE,indali21@example.org,4301131124
COM419,Gabriel Sur,Computer Engineering,FE,zvohra@example.org,04008612257
COM203,Nakul Goyal,Computer Engineering,SE,ebrar@example.org,09199646819
